product_id,height,width,length,weight,can_mix
1198,18.1,9.7,4.4,400,Food
1199,26,6.5,6.5,600,Food
1200,24,7,7,620,Food
1201,24,8,8,600,Food
1202,NULL,NULL,NULL,NULL,Food
1203,32,9,9,1540,Food
1204,32,10,10,1602,Food
1205,12,38,12,3200,Food
1206,28,12,12,3262,Food
1207,1,1,1,1,Food
1208,25,12,5,1062,Food
1209,21,12,5,1062,Food
1210,34,10,10,2535,Food
1211,16,19,12,2230,Food
1212,7,7,7,150,Food
1213,3,15,15,248,Food
1214,5,18,18,500,Food
1215,5,15,10,472,Food
1216,2,20,14,366,Food
1217,5,15,14,468,Food
1218,6,14,14,NULL,Food
1219,NULL,NULL,NULL,NULL,Food
1220,5,15,10,468,Food
1221,3,15,11,244,Food
1222,3.5,10.2,11.5,245,Food
1223,5,14,11,510,Food
1224,2,21,19,366,Food
1225,5,10,3,NULL,Toilet
1226,25,6,22.5,50,Toilet
1227,22,7,2,0.046,Toilet
1228,2.2,7,22.9,0.05,Toilet
1229,21,8,4.5,456,Toilet
1230,20,8,5,454,Toilet
1231,20.5,8,4.5,438,Toilet
1232,21,8,5,442,Toilet
1233,21,8,4.5,465,Toilet
1234,22,9,6,796,Toilet
1235,20,8,5,456,Toilet
1236,20,8,5,444,Toilet
1237,21.1,5.2,5.2,300,Toilet
1238,20.5,7,4,464,Toilet
1239,17,6.3,5.3,300,Toilet
1240,21,8,4.5,463,Toilet
1241,21,8,5,452,Toilet
1242,22,8,4.5,420,Toilet
1243,21,7.5,4,384,Toilet
1244,20.5,7,4,374,Toilet
1245,NULL,NULL,NULL,NULL,Food
1246,22,9,5,450,Toilet
1247,26,8,4,400,Food
1248,29,10,8,420,Toilet
1249,6,18,6,173,Toilet
1250,20,9,4,462,Toilet
1251,6,20,9,580,Toilet
1252,10,3,8,240,Toilet
1253,10,10,6,130,Toilet
1254,9,9.5,6,382,Toilet
1255,20.9,8.6,9,NULL,NULL
1256,13.5,5,5,226,Toilet
1257,20,23,7,NULL,Toilet
1258,22,8,4,NULL,Toilet
1259,6,20,23,328,Toilet
1260,25,23,10,594,Toilet
1261,16,14,5,386,Toilet
1262,11,6,3,85,Toilet
1263,12,5.5,2.5,84,Toilet
1264,10.7,4,4,84,Toilet
1265,2,21,11,83,Toilet
1266,10.7,4,4,82,Toilet
1267,13,6.5,4,104,Toilet
1268,13,7,4.5,104,Toilet
1269,18.5,7,4,190,Toilet
1270,11,4,4,190,Toilet
1271,17,4.5,4.5,124,Toilet
1272,17,6,6,173,Toilet
1273,18,6,6,116,Toilet
1274,18.5,7,4,190,Toilet
1275,15,5,5,200,Food
1276,28,7,7,890,Food
1277,26,9,9,942,Food
1278,26,9,9,945,Food
1279,17,10,8,582,Food
1280,7.5,15,6,370,Food
1281,21.2,7.7,7.7,NULL,Food
1282,4,15,25,512,Food
1283,11,9,9,308,Food
1284,22,13,6,262,Food
1285,3,10,20,518,Food
1286,2,9,14,132,Food
1287,21,11,6,128,Food
1288,9,7,2,260,Food
1289,18.5,15,3.5,242,Food
1290,18.5,15,3.5,231,Food
1291,12,10,10,482,Food
1292,1,12,15,57,Food
1293,1,11,15,64,Food
1294,1,12,15,51,Food
1295,25.5,4.5,19,252,Food
1296,29,20,8,NULL,Food
1297,5,21,29,428,Food
1298,24.5,5,14.4,352,Food
1299,11,8,8,432,Food
1300,7.5,7,7,220,Food
1301,3,8,19,168,Food
1302,3,14,17,176,Food
1303,4,15,18,175,Food
1304,4,13,21,272,Food
1305,14.3,8.3,3.6,NULL,Food
1306,12,21,4,180,Food
1307,10,22,3,164,Food
1308,3,13,23,1016,Food
1309,6,11,23,1008,Food
1310,8,12,21,1000,Food
1311,22,11,6,512,Food
1312,2,23,25,270,Food
1313,6,11,21,190,Food
1314,5,18,25,324,Food
1315,9,11,18,240,Food
1316,35,25,15,422,Food
1317,9,14,35,4085,Food
1318,8,35,13,614,Food
1319,3,27,30,532,Food
1320,7,13,30,508,Food
1321,2,8,28,250,Food
1322,2,7,27,250,Food
1323,3,14,15,250,Food
1324,4,15,22,500,Food
1325,16.5,11,5,210,Food
1326,6,12,19,500,Food
1327,17,4.5,4.5,155,Food
1328,17,4.5,4.5,154,Food
1329,20,12,5,400,Food
1330,20,12,5,400,Food
1331,26.5,13.5,6.5,1000,Food
1332,7,25,14,802,Food
1333,4,13,10,192,Food
1334,4,18,11,284,Food
1335,4,13,10,195,Food
1336,5,15,10,230,Food
1337,7,8,38,272,Food
1338,15,23,8,440,Food
1339,10,13,8,350,Food
1340,7,15,10,225,Food
1341,9,13,14,422,Food
1342,2,11,8,6,Food
1343,2,10,8,8,Food
1344,NULL,NULL,NULL,NULL,NULL
1345,2,8,12,12,Food
1346,10,8,6,120,Toilet
1347,8,5.5,7.5,106.5,Toilet
1348,4,16,28,1156,Food
1349,4,16,28,1172,Food
1350,10,23,10,1836,Food
1351,26,11,11,1770,Food
1352,26,9,9,1020,Food
1353,5,29,17,1232,Food
1354,25.5,8,8,1020,Food
1355,9,30,8,1050,Food
1356,7,8,8,160,Food
1357,11,7,7,194,Food
1358,11,7,7,188,Food
1359,11,7,7,188,Food
1360,10,20,10,922,Food
1361,10,14,24,NULL,Food
1362,1,10.5,15,NULL,Food
1363,5.5,11,10,212,Food
1364,11,10,10,398,Food
1365,8.5,8,8,346,Food
1366,17,12,5,186,Food
1367,15,10,2,NULL,Food
1368,9,22,40,6900,Food
1369,9,35,24,6750,Food
1370,6,12,3,129,Food
1371,9,12,2,127,Food
1372,6,15,8,276,Food
1373,12,12,5,307,Food
1374,4,14,21,468,Food
1375,5,22,13,410,Food
1376,3,15,21,253,Food
1377,3,15,21,106,Food
1378,3,11,11,254,Food
1379,3,20,21.5,254,Food
1380,25,13,20,3510,Food
1381,10,10,10,200,Food
1382,11,21,14,2068,Food
1383,20,13,13,2250,Food
1384,1,1,1,NULL,Food
1385,11,21,15,2240,Food
1386,13.5,14,21,1,Food
1387,1,1,1,1,Food
1388,25,11,11,1248,Food
1389,26,9,9,750,Food
1390,7,7,29,1300,Food
1391,23,8.5,8.5,1165,Food
1392,21,9,7.5,750,Food
1393,29.5,7,7,1152,Food
1394,32,8,8,1152,Food
1395,10,12,22,1294,Food
1396,22.5,8.2,7.5,1000,Food
1397,27,9,7,1000,Food
1398,14.5,5,13.5,170,Food
1399,6,10,10,220,Food
1400,20,11,7,208,Food
1401,3.5,17,27.5,56,Food
1402,20,30,10,408,Food
1403,5,17,20,430,Food
1404,10,31,31,1750,Food
1782,10,2,18,NULL,Toilet
1868,20,12,11,190,Toilet
1869,13,12,12,NULL,NULL
1870,26,13,7,1143,Toilet
1871,27,8,8,1041,Toilet
1872,21.5,6.5,6.5,582,Toilet
1873,19,13.5,4,240,Food
1874,6,8,8,115,Food
1875,20,6,6,550,NULL
1876,22,6.5,6.5,546,Food
1877,33,9,9,1628,Food
1878,3,14,13,246,Food
1879,26.5,9.5,6,866,Toilet
1880,16,7,4,231,NULL
1881,22,9,7,NULL,NULL
1882,4.5,13,12,NULL,Toilet
1883,2,9,11,24,Toilet
1884,4,9,20,42,Food
1885,9,3,5,30,Toilet
1886,5.5,8,3.5,38,Toilet
1887,8,13,9,82,Toilet
1888,8,17,11,128,Toilet
1889,3,8,10,82,Toilet
1890,12,7,3.5,128,Toilet
1891,12,6.5,4.5,65,Toilet
1892,22,4.7,4.7,250,Food
1893,13.5,8,7,354,Food
1894,12,9,1,NULL,Food
1895,24,4.5,19,300,Food
1896,25,5,19,304,Food
1898,14.3,8.3,3.6,NULL,Food
1899,6,9,29,468,Food
1900,4.5,13,19,420,Food
1901,7,26,8.5,345,Food
1902,24,10,4,153,Food
1903,19,14,2,300,Food
1904,4,4,4,100,Food
1905,4,4,4,10,Food
1906,20,12,5,400,Food
1907,9,13,1,NULL,Food
1908,14,8,3,200,Food
1909,14,8,3,200,Food
1910,4,13,10,196,Food
1911,10,13,9,294,Food
1912,5,8,15,88,Food
1913,2,10,8.5,24,NULL
1914,2,8,12,12,Food
1915,6,16,25,1294,Food
1916,2,14,21,375,Food
1917,NULL,NULL,NULL,NULL,NULL
1918,17,11.5,1.5,90,Food
1919,28,36,11,400,Food
1920,2,12,16,40,Food
1921,2,12,16,40,Food
1922,7,7,6.9,NULL,Food
1923,20,10,7,98,Food
1924,14,7,3,50,Food
1925,22,17,5.3,NULL,Food
1926,20,10,7,240,Food
1927,9,14,4,42,Food
1928,5,19,29,115,Food
3668,4,15,29,204,Food
5766,NULL,NULL,NULL,NULL,Food
7568,1.6,5.6,1.6,NULL,Food
7833,13,6.5,6.5,374,Food
7834,14,15,10,96,Toilet
7835,17.2,19.3,9,NULL,NULL
7837,11,6,3,12,Food
7839,18,19,2,200,Food
7840,17,11,5,NULL,Food
7841,2,12,20,258,Food
7842,2,13,20,254,Food
7843,30,10,40,1546,Food
7844,42,35,9,2131,Food
7845,24,34,12,1200,Food
7877,22,5,5,NULL,Food
7878,6.5,5.5,5.5,200,Food
7879,1,26,13,150,Food
7880,15,7,7,306,NULL
7881,12,4,4,64,Food
7882,15,15,5,1000,Food
7883,2,9,13,160,Food
7884,5,13,5,32,Food
7885,1,15,22,256,Food
7886,4.8,8.5,8.5,170,NULL
7887,4,9,9,125,Food
7888,4,4,4,10,Food
7889,4,4,4,10,Food
7890,35,25,15,100,NULL
7891,35,25,15,100,NULL
7892,12,12,6,325,Food
7893,NULL,NULL,NULL,NULL,NULL
7894,10,10,10,100,Food
7895,6.5,6.8,6.8,1126,Food
7896,NULL,NULL,NULL,NULL,Food
7897,22,15,2,110,Pets
7898,11,5,5,NULL,NULL
7899,4,16.5,19,NULL,NULL
7900,7,10,10,250,NULL
7901,33,20,6,NULL,Food
7902,16,15,4,NULL,NULL
7903,4,8,15,190,Food
7904,17,11,5,200,Food
7905,10,6,6,200,Food
7906,20,8,12,458,Food
8133,3,20,11,30,Toilet
8135,21,9,7.5,750,Food
8136,15,9,5,175,Toilet
8137,14,6,3,NULL,Food
8138,11,34,40,6870,Food
8139,9,22,40,6872,Food
8140,10,33,40,6870,Food
8142,3,16,29,1278,Food
8143,6.5,11,11,245,Food
8144,2,20,12,250,Food
8145,15,15,15,415,Food
8150,12,10,4,24,Toilet
172851,6,13.5,5.5,22,Food
172852,6,13.5,5.5,15,NULL
172853,11.5,8,3,25,NULL
172854,10,6,4,10,NULL
172860,19,5,5,120,Food
172861,19,5,3,110,Food
172862,3,6,6,15,Food
172874,NULL,NULL,NULL,NULL,Food
172875,10,8,27,1046,Food
172876,22,5,5,NULL,NULL
172877,24,10,8,462,Toilet
172878,21,8.5,4.5,428,Toilet
172879,20,23,6,293,Toilet
172880,13,18,1.5,100,Food
172881,33,20,6,NULL,NULL
172882,33,20,6,NULL,NULL
172883,33,20,6,NULL,NULL
172884,11,6,3,12,Food
172885,12,14,5,NULL,NULL
172886,22,17,5.3,NULL,Food
172887,10,10,10,100,Food
172888,4,21,30,1272,Food
172889,11,7,7,194,Food
172890,8,8,6,142,Food
172891,5,5,5,120,Food
172892,6,6,6,156,Food
172893,2,12,10,152,Food
172894,21.5,7.5,7.3,1005,Food
172895,4,14,24,906,Food
172896,4,14,24,906,Food
172897,5,13,24,1022,Food
172898,5,13,24,1022,Food
172902,16.8,10.4,7.2,NULL,Food
172910,9,20,6,NULL,Food
172954,26.8,10,6,1.047,Toilet
172955,5,13,24,1022,Food
172956,2,9,13,154,Food
172957,13,9,2,125,Food
172958,10,10,2,95,Food
172962,2,21,21,152,Food
172963,NULL,NULL,NULL,NULL,Food
172964,19,6,6,332,Food
172965,19,6,6,332,Food
172966,19,6,6,332,Food
172967,3,14,21,250,Food
173099,11,23,38,6612,Food
173100,23,13,33,6060,Food
173101,9,7.5,23.5,37,Food
173102,9,9,8,40,Food
173103,9,8,8,40,Food
173104,NULL,NULL,NULL,NULL,Food
173105,NULL,NULL,NULL,NULL,Food
173106,3,17,24,508,Food
173107,24,14,10,100,Toilet
